текст;категория;;;;;;;;;
Ответ: Информация о ВАК САИТ Нет, ничего не сказал. Честно говоря, мне бы это не понравилось. Не отправляйте, если можно избежать <https://www.avast.com/sigemail?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail Вируса нет. www.avast.ru <https://www.avast.com/sigemail?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail <#DAB4FAD82DD740BBA1B84E2AA1F9FDF2 2 апреля 2018 г., 14:12, написано пользователем информационного бюллетеня ВГУ <csit@cs.vsu . ру: Получил. Я удалю рецензента (в этом нет необходимости). Есть еще один момент. Сирота хочет посмотреть вашу статью (попросил прислать ее вам). Не знаю, почему ты вдруг вспомнил. Вы говорили с ним? Я еще не отправил. Вс, 1 апр 2018 17:30:43 +0400 Ирина Воронина <irina.voronina@gmail.com написала: Ой, не добавила 1 апр 2018, 17:23 пользователь Ирина Воронина < irina.voronina@gmail.com. написал: Хорошо.как-то так 23 марта 2018, 18:41 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (список ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться ВАК. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В. С уважением, Воронина Ирина Евгеньевна, email: irina.voronina@gmail.com <chupandina@vsu.ru IP:1414 С уважением, Воронина Ирина Евгеньевна, email: irina voronina@gmail.com <chupandina@vsu.ru IP:1414 С уважением, Воронина Ирина Евгеньевна, e-mail: irina.voronina@gmail.com <chupandina@vsu.ru IP:1414.;другой;;;;;;;;;
Ответ: Информация о ВАК ГАИТ. Речь не о лингвистике. Но мне нужно добраться до него, а точнее до моего аспиранта, иначе это станет конвейером. Он всегда находит столько ошибок, а у нас на все это времени особо не было.... 2 апреля 2018, 16:10 пользователь Ирина Воронина <irina.voronina@gmail.com написала: Нет, он ничего не сказал . Честно говоря, мне бы это не понравилось. Не отправляйте, если можно избежать <https://www.avast.com/sigemail?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail Вируса нет. www.avast.ru <https://www.avast.com/sigemail?utm_medium=email&utm_source=link&utm_campaign=sigemail&utm_content=webmail <#m_2487976315308960721_DAB4FAD82DD740BBA1B84E2AA1F9FDF2 2 апреля 2018, 14:12 пользователь Б В ГУ естник <csit@cs.vsu.ru это написало: Получено. Я удалю рецензента (в этом нет необходимости). Есть еще один момент. Сирота хочет посмотреть вашу статью (попросил прислать ее вам). Не знаю, почему ты вдруг вспомнил. Вы говорили с ним? Я еще не отправил. Вс, 1 апр 2018 17:30:43 +0400 Ирина Воронина <irina.voronina@gmail.com написала: Ой, не добавила 1 апр 2018, 17:23 пользователь Ирина Воронина < irina.voronina@gmail.com. написал: Хорошо.как-то так 23 марта 2018, 18:41 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Уважаемые коллеги! Подтвердить в ВАК совместимость членов редколлегии журнала «Вестник ВГУ Серия: Системный анализ и информационные технологии» с экспертной группой, в которой заявлен журнал «Вестник ВГУ САИТ». Теперь Журнал в Перечне ВАК (перечень ведущих рецензируемых научных журналов и изданий, в которых должны публиковаться основные научные результаты диссертаций на соискание ученой степени доктора и кандидата наук) соответствует группе Специализация 05.13.00 Информатика, компьютерные науки и менеджмент. В настоящее время мы уточняем перечень отдельных специализаций и научных направлений, по которым статьи, опубликованные в нашем журнале, будут учитываться Высшей аттестационной комиссией. В связи с этим просим Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности в областях знаний и науки, указанных в представленном Вам файле, по соответствующему шаблону. Прилагаю необходимые специальные паспорта. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В. С уважением, Воронина Ирина Евгеньевна, email: irina.voronina@gmail.com <chupandina@vsu.ru IP:1414 С уважением, Воронина Ирина Евгеньевна, email: irina voronina@gmail.com <chupandina@vsu.ru IP:1414 С уважением, Воронина Ирина Евгеньевна, email: irina.voronina@gmail.com <chupandina@vsu.ru IP: 1414 С уважением, Воронина Ирина Евгеньевна, email: irina. .voronina@gmail. ком <chupandina@vsu.ru IP:1414;другой;;;;;;;;;
Журнал ВГУ Вестник Samples.rar добавлен 29.03.2018 16:28, Вестник ВГУ пишет: Уважаемый Николай Николаевич! Приглашаем Вас стать членом редколлегии журнала «Вестник ВГУ Серия Системный анализ и информационные технологии» (http://www.vestnik.vsu.ru/content/analiz/index_ru.asp). Сирота Александр Анатольевич получил от Вас предварительное устное одобрение. Пожалуйста, заполните следующие документы: Согласие на включение в состав редколлегии (выслать подписанный файл в формате pdf), информацию о научной деятельности (выслать файл в формате doc). С уважением, Рес. Секретарь журнала «Вестник ВГУ САИТ» Гаршина Вероника Викторовна Уважаемая Вероника Викторовна! Благодарю вас за приглашение и в связи с этим посылаю вам присланные вами готовые образцы. С уважением, NN PS: Если вы не возражаете, пожалуйста, дайте мне знать, согласны ли вы с этим или необходимы какие-либо исправления.;другой;;;;;;;;;
Ответ: Информация о САИТ для ВАК - срочно Информация о члене редколлегии - Буренине А.Аdocx Чт, 29.03.2018 16:56:59 +0300 «Вестник ВГУ» <csit@cs.vsu. ru написал: Уважаемые коллеги! Прошу Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности до 05.04.18. 13.05.00 по группе специальностей. В личных предыдущих письмах области специализации + области науки указываются лично для каждого члена редколлегии. Если вы не получили письма или у вас есть вопросы, напишите нам! Мне необходимо будет разместить эту информацию на сайте ВАК до 10.04.18, иначе журнал может быть исключен из списка ВАК. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В. Добрый вечер! Вчера на факультете был «Весенний» день. Делюсь информацией о Буренине. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru;другой;;;;;;;;;
"Ответ: Вопрос по статье Здравствуйте, Вероника Викторовна! Вам пишет Людмила Кромина. Хочу вас спросить: Есть ли какая-нибудь информация о нашей работе от рефери? Всего наилучшего. Людмила К. 09.02.2018, 17:09, «Вестник ВГУ» <csit@cs.vsu.ru: Уважаемые авторы! Статья РАЗРАБОТКА АЛГОРИТМНОГО КОМПЛЕКСА ЗАКАЗАНИЯ ЦЕЛИ ЛИТЕРАТУРЫ ПО ОФИЦИАЛЬНЫМ ПОКАЗАТЕЛЯМ ДЛЯ ВУЗА Миронов В.В., Ярцев Р.А., Кромина Л.А. передана в редакцию и находится на рассмотрении. Мы сообщим о результатах. Журнал Секретаря Республики Гаршиной Вероники Викторовны 05.02.2018 06:03:10 +0300 Кромина Людмила <luydakr@yandex.ru написала: Здравствуйте, Вам пишет Людмила Кромина. 19 декабря я отправил Вам статью ""РАЗРАБОТКА АЛГОРИТМНОГО КОМПЛЕКСА ЗАКАЗА ЛИТЕРАТУРЫ ДЛЯ ВУЗА ПО ОБЪЕКТИВНЫМ ОФИЦИАЛЬНЫМ ПОКАЗАТЕЛЯМ"". Есть ли информация об этом исследовании? Всего наилучшего. С уважением, Людмила Кромина.";Вопросы;;;;;;;;;
Ответ: Информация о САИТ для ВАК - срочно Информация о члене редколлегии - Артемове MAdocx Здравствуйте! Я вышлю вам необходимую информацию. С уважением, М.А. Артемов Четверг, 29 марта 2018 г., 16:57 +03:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые коллеги! Прошу Вас предоставить информацию о Вашей научной деятельности и публикационной деятельности до 05.04.18. 13.05.00 по группе специальностей. В личных предыдущих письмах области специализации + области науки указываются лично для каждого члена редколлегии. Если вы не получили письма или у вас есть вопросы, напишите нам! Мне необходимо будет разместить эту информацию на сайте ВАК до 10.04.18, иначе журнал может быть исключен из списка ВАК. С уважением, заместитель секретаря журнала «Вестник ВГУ» САИТ Гаршина В.В.;другой;;;;;;;;;
"Ответ: Далее: Ответ[2]: Статья Сэндлера И.Л. Комплект документов для журнала «Вестник ВГУ». Серия: Системный анализ и информационные технологии» Сообщение перенаправлено От: Илья Сандлер <sandleri@bk.ru Кому: csit <csit @cs.vsu.ru Дата: Четверг, 29 марта 2018 г., 23:42 +05:00 Тема: Опять : Далее : Ответ[2]: Статья Сандлера И.Л. Серия документов для журнала «Вестник ВГУ»: Системный анализ и информационные технологии» Добрый день, уважаемая редакция!!! Скажите, на каком этапе находится моя статья Илья Сандлер? sandleri@bk.ru Вторник, 27 марта 2018, 18:16 +04:00 От Ильи Сандлера < sandleri@bk.ru: Добрый день, уважаемая редакция!!! Скажите, на какой стадии находится моя статья? С уважением, Илья? Сандлер sandleri@bk.ru Илья Сандлер < sandleri@bk.ru Кому: Вестник ВГУ < csit@cs.vsu.ru Дата: Пятница, 9 марта 2018, 17:42 +04:00 Тема: Ответ[2]: Сандлер И.Л. статья «Вестник ВГУ. Серия: Системный анализ и информационные технологии» Добрый день, уважаемая редакция!!! Скажите, на какой стадии моя статья? С уважением, Илья Сандлер sandleri@bk.ru Пятница, 9 февраля 2018 г., 17:33 +04:00 Вестник ВГУ < csit@cs.vsu.ru: Уважаемый автор! Материалы статьи поступили и секретарю представительства журнала Гаршина Веронике Викторовне Чт, 08 февраля 2018 21:13:52 +0300. Илья Сандлер < sandleri@bk.ru : Сообщение перенаправлено От: Илья Сандлер < sandleri@bk.ru Кому: csit < csit@cs.ru Дата: Воскресенье, 4 февраля 2018 г., 12:31 +04:00 Тема: Сандлер IL статья в журнале ""ВГУ. Серия Вестник: Системный анализ и информационные технологии"" Добрый день, уважаемая редакция!!! Хочу подать статью в журнал «ВГУ. Серия Вестник: Системный анализ и информационные технологии». раздел Математические методы системного анализа и управления. Прилагается архив, содержащий четыре файла: опись, статья и 6 рисунков. С уважением, Илья Сандлер sandleri@bk.ru С уважением, Илья Сандлер sandleri@. bk.ru С уважением, Илья Сандлер sandleri@bk .ru С уважением, Илья Сандлер sandleri@bk.ru";Вопросы;;;;;;;;;
Развитие статьи Уважаемая Вероника Викторовна! Я хотел бы еще раз услышать о ходе работы моего аспиранта А.В. Зюзина. Статья поступила в журнал в ноябре 2017 года. Около месяца назад он получил письмо от редакции о том, что статья отправлена рецензенту. Конечно, мы понимаем загруженность рецензентов и готовы подождать. Но все равно полгода – это, на мой взгляд, слишком долго (особенно для аспирантов). Может быть, нам пора отправить статью в другой журнал? С уважением, Лобода А.В.;Вопросы;;;;;;;;;
"Re: Журнал ""Вестник ВГУ"" Серия ""Системный анализ и информационные технологии"" Для журнала МЕНШХИЙ ВАЛЕРИЙ ВЛАДИМИРОВИЧ.docx Информацию высылаю в формате, представленном для нашего журнала. При необходимости могу искренне переформатировать Ваше, ВВ Понедельник, 2 апреля 2018, 14:41 +04:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемый Валерий Владимирович! Приглашаем Вас стать членом редколлегии журнала «Вестник ВГУ Серия Системный анализ и информационные технологии» (http://www.vestnik.vsu.ru/content/analiz/index_ru.asp). Пожалуйста, заполните следующие документы: Согласие на включение в состав редколлегии (выслать подписанный файл в формате pdf), информацию о научной деятельности (выслать файл в формате doc). С уважением, Рес. Секретарь журнала «Вестник ВГУ САИТ» Гаршина Вероника Викторовна Меньших";другой;;;;;;;;;
"Ответ: Серия журналов ""Вестник ВГУ"" ""Системный анализ и информационные технологии"" Одобрение арендодателя.jpg Оригинал будет передан в ближайшее время! Понедельник, 2 апреля 2018 г., 14:41 +04:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемый Валерий Владимирович! Приглашаем Вас стать членом редколлегии журнала «Вестник ВГУ Серия Системный анализ и информационные технологии» (http://www.vestnik.vsu.ru/content/analiz/index_ru.asp). Пожалуйста, заполните следующие документы: Согласие на включение в состав редколлегии (выслать подписанный файл в формате pdf), информацию о научной деятельности (выслать файл в формате doc). С уважением, Рес. Секретарь журнала «Вестник ВГУ САИТ» Гаршина Вероника Викторовна Меньших";другой;;;;;;;;;
Вопрос Добрый день, уважаемая редакция! Меня интересует вопрос по поводу публикации статьи в «Вестнике ВГУ» из серии «Системный анализ и информационные технологии»: «Нужно ли сначала отправить электронную версию статьи и после ее возможного одобрения подать статью? текстовый файл или все нужно делать одновременно?» С уважением, И.В. Ершова.;Вопросы;;;;;;;;;
Ответ: Вопрос Спасибо, какое экспертное мнение? На сайте об этом ничего не сказано... и в таком случае может ли эксперт быть экспертом в этой области, а не сотрудником на работе? Отправлено со смартфона Samsung Galaxy. Первое сообщение От: Вестник ВГУ <csit@cs.vsu.ru Дата: 06.04.18 15:18 (GMT+03:00) Кому: «И.В. Ершова» <irina_zueva@mail.ru Тема: Ответ: Вопрос Уважаемый автор ! Просто пришлите электронную версию статьи и скан экспертного заключения о возможности публикации данных материалов (с вашего места работы или учебы) Гаршина Вероника Викторовна, генеральный секретарь журнала «Вестник ВГУ САИТ» Пт, 06 г. Апрель 2018 11:34:04 +0300 И.В. Ершова <irina_zueva.@mail.ru написала: Добрый день, уважаемая редакция! Меня интересует вопрос по поводу публикации статьи в «Вестнике ВГУ» из серии «Системный анализ и информационные технологии». : «Нужно ли сначала отправить электронную версию статьи и после ее возможного одобрения предоставить текстовый файл или все сделать одновременно?» С уважением, И.В. Ершова.;Вопросы;;;;;;;;;
Вопрос о публикации в вашем журнале Здравствуйте! Я учусь в магистратуре Уральского федерального университета имени Ельцина (Екатеринбург). Область специализации: бизнес-информатика. Если вы хотите опубликовать свою статью, скажите, как это можно сделать в своем журнале? Если возможно, каковы условия бесплатного вещания?;Вопросы;;;;;;;;;
"Ответ[2]: Вопрос по поводу публикации в вашем прекрасном журнале, то есть правильно ли я понял, что в случае положительного результата приёмки моя статья будет опубликована 4 января? Это бесплатно? С уважением, Веб-программист Максим Турченко 13 ноября 2018 г., 16:46 +04:00 Из Вестника ВГУ csit@cs.vsu.ru: Уважаемый автор! Статьи, поступившие в Вестник ВГУ САИТ, проходят рецензирование и принимаются к публикации. В настоящее время мы принимаем статьи 42018 (опубликованы в январе 2019 г.) и 12019 (опубликованы в марте 2019 г.). Журнал входит в ядро РИНЦ, но о скорости его индексации ничего сказать не могу. Генеральный секретарь журнала Гаршина Вероника Викторовна Вторник, 13 ноября 2018 10:11:17 +0500 Максим <maksarik1@yandex.ru написал: Здравствуйте, подскажите пожалуйста, что у меня есть статья. Могу отправить вам для публикации. Тематика связана с бизнес-информатикой, экономикой и аналитикой. Скажите, если да, то когда можно будет опубликовать следующую статью? Каким же будет следующий номер журнала? И скажите, после публикации в журнале, когда он будет индексироваться в РИНЦ? Хотя бы по статистике, когда его проиндексируют в РИНЦ? Спасибо 09.04.2018, 08:05, «Лаврик Ольга Львовна» < lavrik@spsl.nsc.ru: Уважаемый автор! В нашем журнале публикуются статьи, посвященные различным аспектам понятий «книга» и «библиотека». С уважением, Лаврик Ольга Львовна, доктор педагогических наук, профессор, народный депутат. Директор по научной работе и главный редактор журнала «Библиосфер». Новосибирск, 630200 Государственная научно-техническая библиотека СО РАН, ул. Восход, 15 Тел. 83832662989 Адрес электронной почты: lavrik@spsl.nsc.ru www.spsl.nsc.ru Исходное сообщение: Максим Турченко < maksarik1@yandex.ru Дата отправки: Воскресенье, 8 апреля 2018 г., 04:02 Кому: aphr2010@mail ru . ; Лаврик Ольга Львовна < Lavrik@spsl.nsc.ru ; bijournal@hse.ru; csit@cs.vsu.ru; Bulletinem@econ.vsu.ru; usv@vsu.ru; ierbsu@mail.ru; Vestnik_astu@astu.org Тема: Вопрос по поводу публикации в вашем журнале Здравствуйте! Я учусь в магистратуре Уральского федерального университета имени Ельцина (Екатеринбург). Область специализации: бизнес-информатика. Если вы хотите опубликовать свою статью, скажите, как это можно сделать в своем журнале? Если возможно, каковы условия бесплатного вещания? С уважением, Максим!";Вопросы;;;;;;;;;
"Answer[2]: Ответ[2]: Вопрос по поводу публикации в вашем журнале Отлично, тогда скоро пришлю две статьи. С уважением Веб-программист Максим Турченко Среда, 14 ноября 2018, 13:58 +04:00 Вестник ВГУ @cs из csit. vsu.ru: Выходит бесплатно, но почти где-то 4 января, скорее в середине января. 14.11.2018 06:51:14 +0300 Максим Веб-программист < super.practica@yandex.ru написал: Отлично, то есть я правильно понимаю, что если результат приёмки будет положительным, то моя статья будет опубликована 4 января. . ? Это бесплатно? С уважением, Веб-программист Максим Турченко 13 ноября 2018 г., 16:46 +04:00 Из Вестника ВГУ csit@cs.vsu.ru: Уважаемый автор! Статьи, поступившие в Вестник ВГУ САИТ, проходят рецензирование и принимаются к публикации. В настоящее время мы принимаем статьи 42018 (опубликованы в январе 2019 г.) и 12019 (опубликованы в марте 2019 г.). Журнал является ядром РИНЦ, но о скорости его индексации ничего сказать не могу. Генеральный секретарь журнала Гаршина Вероника Викторовна Вторник, 13 ноября 2018 10:11:17 +0500 Максим <maksarik1@yandex.ru написал: Здравствуйте, подскажите пожалуйста, что у меня есть статья. Могу отправить вам для публикации. Тематика связана с бизнес-информатикой, экономикой и аналитикой. Скажите, если да, то когда можно будет опубликовать следующую статью? Каким же будет следующий номер журнала? И скажите, после публикации в журнале, когда он будет индексироваться в РИНЦ? Хотя бы по статистике, когда его проиндексируют в РИНЦ? Спасибо 09.04.2018, 08:05, «Лаврик Ольга Львовна» < lavrik@spsl.nsc.ru: Уважаемый автор! В нашем журнале публикуются статьи, посвященные различным аспектам понятий «книга» и «библиотека». С уважением, Лаврик Ольга Львовна, доктор педагогических наук, профессор, народный депутат. Директор по научной работе и главный редактор журнала «Библиосфер». Новосибирск, 630200 Государственная научно-техническая библиотека СО РАН, ул. Восход, 15 Тел. 83832662989 Адрес электронной почты: lavrik@spsl.nsc.ru www.spsl.nsc.ru Исходное сообщение: Максим Турченко < maksarik1@yandex.ru Дата отправки: Воскресенье, 8 апреля 2018 г., 04:02 Кому: aphr2010@mail ru . ; Лаврик Ольга Львовна < Lavrik@spsl.nsc.ru ; bijournal@hse.ru; csit@cs.vsu.ru; Bulletinem@econ.vsu.ru; usv@vsu.ru; ierbsu@mail.ru; Vestnik_astu@astu.org Тема: Вопрос по поводу публикации в вашем журнале Здравствуйте! Я учусь в магистратуре Уральского федерального университета имени Ельцина (Екатеринбург). Область специализации: бизнес-информатика. Если вы хотите опубликовать свою статью, скажите, как это можно сделать в своем журнале? Если возможно, каковы условия бесплатного вещания? С уважением, Максим!";Вопросы;;;;;;;;;
"RE: Вопрос по поводу публикации в вашем журнале Уважаемый автор! В нашем журнале публикуются статьи, посвященные различным аспектам понятий «книга» и «библиотека». С уважением, Лаврик Ольга Львовна, доктор педагогических наук, профессор, народный депутат. Директор по научной работе и главный редактор журнала «Библиосфер». Новосибирск, 630200 Государственная научно-техническая библиотека СО РАН, ул. Восход, 15 Тел. 83832662989 Адрес электронной почты: lavrik@spsl.nsc.ru www.spsl.nsc.ru Исходное сообщение: Максим Турченко <maksarik1@yandex.ru Отправлено: Воскресенье, 8 апреля 2018 г., 04:02 Кому: aphr2010@mail ru; Лаврик Ольга Львовна <Lavrik@spsl.nsc.ru; bijournal@hse.ru; csit@cs.vsu.ru; Bulletinem@econ.vsu.ru; usv@vsu.ru; ierbsu@mail.ru; Vestnik_astu@astu.org Тема: Вопрос по поводу публикации в вашем журнале Здравствуйте! Я учусь в магистратуре Уральского федерального университета имени Ельцина (Екатеринбург). Область специализации: бизнес-информатика. Если вы хотите опубликовать свою статью, скажите, как это можно сделать в своем журнале? Если возможно, каковы условия бесплатного вещания?";Вопросы;;;;;;;;;
Ответ: Информация о Беккере Информация о члене редколлегии - BECKER.docx Чт, 29.03.2018 16:29:51 +0300 «Вестник ВГУ» <csit@cs.vsu.ru написал: Добавлено для доработки Информация Буренин А.А. Лучший С уважением, Гаршина Посылаю табличку о В.В. Беккере. Доктор ХК Доктор. Это официальная академическая степень в Германии, так как она имеет значение почетной докторской степени. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru;другой;;;;;;;;;
Вопрос по рецензированию материалов Уважаемая редакция! Простите за беспокойство, могу ли я узнать результаты проверки? Суббота, 10 февраля 2018 г., 23:45 +09:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! О МЕТОДИКЕ ОЦЕНКИ СТРАТЕГИИ РАЗВИТИЯ СОЦИАЛЬНОГО САЙТА РЕСУРСНОГО РЕГИОНА Рассмотрена статья С.М. Лавлинского, Л.Л. Яковлевой, поступившая в редакцию научного журнала «Вестник ВГУ САИТ». Мы сообщим о результатах. Генеральный секретарь журнала «Вестник ВГУ» САИТ Гаршина В.В. Чт, 25 января 2018 г. 04:47:59 +0300 Яковлева Лидия <lidia70@mail.ru написала: Здравствуйте уважаемые коллеги! Просим Вас рассмотреть нашу статью для публикации в Вашем журнале «Вестник ВГУ». Серия: Системный анализ и информационные технологии». С УФ. Лавлинский Сергей Михайлович (д.т.н., профессор, Новосибирск), Институт вычислительной математики Яковлева Лидия Леонидовна (доцент, Чита), ЗабГУ, ПИМ Яковлева Л.Л. ЗабГУ, кафедра ПИМ;Вопросы;;;;;;;;;
Ответ: Информация о САИТ для ВАК Информация о члене редколлегии 2 - Кургалин SDdocx Здравствуйте, Вероника! Отправляю информацию о себе. С уважением, Кургалин В. Уважаемые коллеги! Проверить в ВАК соответствие В квалификации членов редколлегии журнала В «Вестник Воронежского государственного университета». Серия: Системный анализ и V Информационные технологии» включен в V группу специальностей, где анонсирован журнал «Вестник САИТ ВГУ». Теперь журнал в Перечне ВАК (ведущий V журнал с V основными научными результатами тезисы V конкурса на соискание ученых степеней доктора V и кандидата наук список рецензируемых научных журналов и публикаций) к публикации) 05.13.00 Информатика, V Соответствует V группе специальностей «Информатика и менеджмент». В связи с этим в настоящее время уточняется перечень отдельных специальностей и областей науки, по которым опубликованные в нашем журнале статьи будут рассматриваться ВАК. Просим Вас предоставить информацию о Вашей научной и издательской деятельности в России. области V специальностей и наук, указанные в приложенном V файле, по соответствующему шаблону V. С уважением, Представитель секретаря журнала «Вестник V» ВГУ САИТ Гаршина В.В.;другой;;;;;;;;;
"статья Авторы_информация.docx, Чертежи_Шубин_Васев.rar, Статья_Шубин_Васев.docx Здравствуйте. Приносим свои извинения за доставленные неудобства; Мы отправили Вам статью и информацию об авторах. Повторяем отправку, пока не найдем решение. Мы были бы признательны, если бы вы предоставили информацию о возможностях принятия и публикации. С уважением, Е.С. Васева.";Вопросы;;;;;;;;;
" Пересылаю в журнал Задорожного ВГУ ""Вестник САИТ.docx"". Впервые я это опубликовал 20.03.18. С уважением, В. Задорожный.";другой;;;;;;;;;
 Задорожный Грекш Greksh.docx Размещаю информацию о Грекше. С уважением, В. Задорожный.;другой;;;;;;;;;
Ответ: Требования к статьям SAIT Спасибо, может их можно раздать всем, у кого есть эти статьи? С уважением, Сирота А. 11.04.2018 12:51, Вестник ВГУ пишет: Александр Анатольевич! Прилагаю полную версию Требований к подготовке статей в SAIT. Алексей Кураков должен опубликовать это на сайте сегодня. С уважением, Гаршина В.В.;Вопросы;;;;;;;;;
 Нет темы SAIT.docx;подача статьи;;;;;;;;;
Статья Аббасов Профиль.doc, Арт Вол Абба статья.docx, Art_Vol_Abba_article.PDF, Артюшенко Профиль.doc, Воловач Профиль.doc, Рисунок 1.tif, Рисунок 2.tif, Рисунок 3.tif Уважаемая редакция! На рассмотрение представлена статья: Синтез алгоритмов нелинейной обработки информационных параметров сигналов под воздействием узкополосных помех с негауссовым распределением. Файлы, рисунки и анкеты авторов статьи прилагаются. С уважением, Татьяна Аббасова.;подача статьи;;;;;;;;;
От Шашкина!!! Конференция ФКС — о Веронике! Нам ответил СС. Веб-сайт конференции нуждается в срочном доработке. Все вопросы и консультации с Александром Кузнецовым. Покажите ему результаты, потому что… у него уже есть опыт и он знает, как все надо делать. Все нужно делать очень качественно: никакого взлома!! В противном случае мы не сможем продолжать с ними работать! Кто может сделать это на английском языке? Вы можете получить все на нашем сайте. В общем, все идет к Кузнецову. Мы будем во Вьетнаме с 26.04 по 11.05. С уважением, декан факультета прикладной математики и математики ВГУ, доктор физико-математических наук, профессор Шашкин Александр Иванович т. н. 8(473)2208322 dean@amm.vsu.ru оригинальное сообщение ниже;другой;;;;;;;;;
4простой фрактал 22342+.doc Уважаемые коллеги! Прошу рассмотреть мою статью для срочной публикации. К сожалению, у меня есть сроки и я могу положиться только на Вас!!! Подскажите, пожалуйста, стоимость публикации. При необходимости могу быстро внести исправления (при необходимости) С уважением, Щербаков А.;подача статьи;;;;;;;;;
"Ответ: Рецензия на Вестник САИТ ВГУ Статья Лихачева Пантюхина Сидоренко (2).docx Уважаемая редакция! Статья переработана с учетом замечаний рецензентов. Прилагаем текст доработанной статьи. Спасибо! Среда, 18 апреля 2018 г., 13:24 +04:00 Из Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Получена рецензия на статью АЛГОРИТМ МОРФОЛОГИЧЕСКОЙ ОБРАБОТКИ РАДИОЛОКАЦИОННЫХ ИЗОБРАЖЕНИЙ ДЛЯ АВТОМАТИЧЕСКОГО ОБНАРУЖЕНИЯ ОБЪЕКТОВ С РАДАРНОЙ ТЕНЬЮ. Рецензент имеет ряд комментариев; После доработки статья будет принята к публикации. Прилагаю текст обзора и текст статьи с примечаниями. Представитель секретаря журнала «Вестник ВГУ САИТ» Гаршина В.В. С уважением, Владимир Леонидович lvp_home@mail.ru";готов к публикации;;;;;;;;;
Ответ: Уважаемый господин Болякно, Мы не получаем денег за публикацию, но и не отвечаем на письма фанатов. Советую вам проявлять большое уважение к редакторам научных журналов. Татьяна Ершова Ершова Татьяна Викторовна Директор Национального центра цифровой экономики МГУ М.В. Ломоносов Главный редактор Научно-аналитического журнала «Информационное общество» Кандидат экономических наук Адрес: 119192, г. Москва, ГСП1, Ломоносовский проспект, д. 27, корп. . . 1, офис 802 Моб.: +7 (903) 7201542 Skype: tatiana_ershova Электронная почта: tatiana.ershova@digital.msu.ru Сайт: http://www.digital.msu.ru От кого: Владимир Болякно <dkflbvbh2015@yandex ru Дата. : понедельник, 23 апреля 2018, 21:54 Кому: <bijournal@hse.ru, <vestnik_astu@astu.org, <buldaev@mail.ru, <csit@cs.vsu.ru, <inftech@vestnik. ru , <vestnikspbusr10@spbu.ru, <vestnik_uvti@mail.tsu.ru, <shokin@ict.nsc.ru, <kurakin@informika.ru, pas <rust@ipiran.ru, <infosoc@iis.ru, < Корона @iitp.ru, <shr@rosenergo.gov.ru, <marketing@itain.spb.ru, <vktatiana@ntckopas.ru, <nti@viniti.ru, <vedomosti@bsu.edu.ru Здравствуйте, это так? ты ? Вас беспокоит Болякно В.А.? (магистрант БрГУ), Хотел бы опубликовать у Вас статью о своем патенте. Я посылаю вам образец эссе (не отформатированный по вашим стандартам), чтобы проверить, подходит ли вам этот материал. Если да, то хотелось бы знать, какой перечень документов мне следует отправить Вам для публикации. Сколько будет стоить статья и примерно когда она будет опубликована? С уважением, Владимир Андреевич Болякно.;Вопросы;;;;;;;;;
