текст;категория
Re[2]: Статья Кононова Статья Кононова Исправлено.rar Здравствуйте, Вероника Викторовна! По Вашему поручению мы попытались доработать элементы статьи: Кононов А.Д., Кононов А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов. » На всякий случай вышлем вам все в электронном виде вместе с экспертным заключением и положительным отзывом АМ. Дайте мне знать, если необходимы дальнейшие исправления. С уважением, авторы Кононов А.Д., Кононов А.А. Понедельник, 13 августа 2018 г., 0:53 +03:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Структура, объем и оформление представленной статьи не соответствуют правилам журнала. Завершите работу над статьей к концу августа. Регламент прилагаю. Гаршина В.В. Суббота, 11 августа 2018 г. 19:57:00 +0300 Андрей_Врн <kniga16@mail.ru написал: Здравствуйте, Вероника Викторовна! По согласованию с Е.К. Алгазиновым направляем Вам заключение экспертов и положительное заключение А.М. Бобрешова. и элементы статьи Кононова А.Д., Кононова А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов» рассмотреть возможность ее публикации в научном журнале «Вестник университета Воронежского государственного института системы Серия «Анализ и информационные технологии». Все материалы мы доставим вам в печатном виде, вероятно, в конце вашего отпуска, так как мы не знаем, когда вы собираетесь выйти на работу. О читаемости файлов сообщите, пожалуйста, по адресу: книга 16. @ почта , авторы Кононов А.Д., Кононов А.А.;пересмотр
Re[4]: Статья Кононова Здравствуйте, Вероника Викторовна! Спасибо за текст! Мы подготовим сокращенный вариант аннотации. Мы ждем ваших новостей. С уважением, авторы Кононов А.Д., Кононов А.А. Пятница, 24 августа 2018 г., 23:58 +15:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Товар получен. На данный момент комментариев к дизайну нет. Единственное, что нужно сделать, это подготовить сокращенный вариант аннотации (сократить строки на 4). При форматировании часто возникает проблема: само начало статьи (только аннотации) не помещается на первой странице, что плохо. С уважением, Гаршина В.В. Пятница, 24 августа 2018 г. 20:35:49 +0300 Андрей_Врн <kniga16@mail.ru написал: Здравствуйте, Вероника Викторовна! По Вашему поручению мы попытались доработать элементы статьи: Кононов А.Д., Кононов А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов. » На всякий случай вышлем вам все в электронном виде вместе с экспертным заключением и положительным отзывом АМ. Дайте мне знать, если необходимы дальнейшие исправления. С уважением, авторы Кононов А.Д., Кононов А.А. Понедельник, 13 августа 2018 г., 0:53 +03:00 от Вестника ВГУ < csit@cs.vsu.ru: Уважаемые авторы! Структура, объем и оформление представленной статьи не соответствуют правилам журнала. Завершите работу над статьей к концу августа. Регламент прилагаю. Гаршина В.В. Суббота, 11 августа 2018 г. 19:57:00 +0300 Андрей_Врн <kniga16@mail.ru написал: Здравствуйте, Вероника Викторовна! По согласованию с Е.К. Алгазиновым направляем Вам заключение экспертов и положительное заключение А.М. Бобрешова. и элементы статьи Кононова А.Д., Кононова А.А. «Принципы работы информационной системы дистанционного управления движением движущихся объектов» рассмотреть возможность ее публикации в научном журнале «Вестник университета Воронежского государственного института системотехники». Серия «Анализ и информационные технологии» Все материалы мы доставим вам в печатном виде, вероятно, в конце вашего отпуска, так как мы не знаем, когда вы собираетесь выйти на работу. О читаемости файлов просьба сообщать по адресу: книга 16. @mail ru С уважением, авторы Кононов А.Д., Кононов А.А.;проверить предметы
"Re: Вопрос Здравствуйте, Вероника Викторовна! наша статья не вошла в Вестник ВГУ Серия ""Системный анализ и информатика"" №2 2018, уточните причину... почему о ней не сообщили заранее?? статья отправлена в апреле понедельник, 14 мая 2018, 15:09 +15:00 И.В. Ершовой <irina_zueva@mail.ru: Здравствуйте Вероника Викторовна!!! Не могу связаться с Вами по указанному на сайте телефону... Меня интересует вопрос по статье Ершовой И.В. и Соколовой А.В. По вопросу средств защиты компьютерных систем и сетей с помощью сертифицированного программного обеспечения. , которое было отправлено Вам 26 апреля 2018 года вместе с экспертным заключением, но без Вашего решения мы с нетерпением ждем и волнуемся... С уважением, И.В. Ершова С уважением, И.В. Ершова";Запросы
"Re[2]: Вопрос Если это невозможно опубликовать в вашем журнале, так и скажите, чтобы не было дублирования... отправим в другой вторник, 28 августа 2018, 11:31 +03:00 от И.В. Ершова < irina_zueva @mail.ru: Здравствуйте, Вероника Викторовна! наша статья не вошла в Вестник ВГУ Серия ""Системный анализ и информатика"" №2 2018, уточните причину... почему о ней не сообщили заранее?? статья отправлена в апреле понедельник, 14 мая 2018, 15:09 +15:00 И.В. Ершовой < irina_zueva@mail.ru: Здравствуйте Вероника Викторовна!!! Не могу связаться с Вами по телефону, указанному на сайте... Меня интересует вопрос по статье Ершовой И.В. и Соколовой А.В. По вопросу средств защиты компьютерных систем и сетей с помощью сертифицированного программного обеспечения. , которое было отправлено Вам 26 апреля 2018 года вместе с экспертным заключением, но без Вашего решения мы с нетерпением ждем и волнуемся... С уважением, И.В. Ершова С уважением, И.В. Ершова С уважением, И.В. Ершова";Запросы
"Re[2]: Публикация статьи Уважаемые коллеги! Прошу прощения. Не могли бы вы рассказать нам, какие комментарии у нас есть к статье? Может быть, что-то нужно исправить? Какие комментарии есть у критика? С уважением, Тагирова Л.Ф. Четверг, 9 августа 2018, 14.31 +0500 с csit@cs.vsu.ru <csit@cs.vsu.ru: Уважаемые авторы! В редакцию журнала ""Вестник ВГУ САИТ"" поступила статья СИСТЕМА ПОДДЕРЖКИ ПРИНЯТИЯ ПРИНЯТИЯ КАНДИДАТА НА ВАКАНСИЮ С ЭЛЕМЕНТАМИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА авторы А.М. Семенов, Л.Ф. Тагирова, В.К. Тагиров Статья будет подвергнута доработке. Мы сообщим о результатах. представитель-секретарь журнала Гаршина Вероника Викторовна Воскресенье, 5 августа 2018 23:31:34 +0300 Лилия Тагирова <lg77@mail.ru написала: Здравствуйте, уважаемые коллеги, редакция журнала «Вестник Воронежского государственного университета». Мы хотели опубликовать статью в вашем журнале. Серия: Анализ информационных систем и технологий. Мы отправляем вам наш товар и наши дизайны отдельными файлами. Ждем ответа с дальнейшими инструкциями. Какие еще документы необходимы или какие корректировки необходимо внести? С уважением, Тагирова Л.Ф.";Запросы
"Re[4]: Опубликовать статью Большое спасибо! Еще раз извините, что беспокою вас. Я буду ждать. Суббота, 1 сентября 2018 г., 14:57 +05:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Ваш товар еще не был проверен рецензентом. Мы сообщим вам, как только станут известны результаты экзамена. представитель-секретарь журнала «Гаршина В.В.» Вторник, 28 августа 2018 г. 12:04:25 +0300 Лилия Тагирова <lg77@mail.ru написала: Уважаемые коллеги! Прошу прощения. Не могли бы вы рассказать нам, какие комментарии у нас есть к статье? Может быть, что-то нужно исправить? Какие комментарии есть у критика? С уважением, Тагирова Л.Ф. Четверг, 9 августа 2018, 14.31 +0500 с csit@cs.vsu.ru < csit@cs.vsu.ru: Уважаемые авторы! В редакцию журнала ""Вестник ВГУ САИТ"" поступила статья СИСТЕМА ПОДДЕРЖКИ ПРИНЯТИЯ ПРИНЯТИЯ КАНДИДАТА НА ВАКАНСИЮ С ЭЛЕМЕНТАМИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА авторы А.М. Семенов, Л.Ф. Тагирова, В.К. Тагиров Статья будет подвергнута доработке. Мы сообщим о результатах. представитель-секретарь журнала Гаршина Вероника Викторовна Воскресенье, 5 августа 2018 23:31:34 +0300 Лилия Тагирова <lg77@mail.ru написала: Здравствуйте, уважаемые коллеги, редакция журнала «Вестник Воронежского государственного университета». Мы хотели опубликовать статью в вашем журнале. Серия: Анализ информационных систем и технологий. Мы отправляем вам наш товар и наши дизайны отдельными файлами. Ждем ответа с дальнейшими инструкциями. Какие еще документы необходимы или какие корректировки необходимо внести? С уважением, Тагирова Л.Ф. С уважением, Тагирова Л.Ф.";Пока мы не встретимся снова
Re: Fwd: Re: Re[2]: Fwd: Статья Азарновой Статья в Вестнике Информационные системы и технологии 2.docx Вероника, добрый день! Мы снова изменили формулы. Посмотрите пожалуйста. С уважением, Азарнова ТВ.;пересмотр
Тема: письмо в редакцию и рецензентов - проект Letter.docx Высылаю свой вариант текста письма. Насчет 5-го не знаю, там еще конференция, организованная Матвеевым. Уточните у Копытина его график. Лучше 6 или 7. С уважением, Сирота А. 09.01.2018 12:51, Вестник ВГУ пишет: Уважаемые члены редколлегии журнала «Вестник ВГУ САИТ», авторы и рецензенты! В целях развития журнала: повышения научного уровня публикуемых статей, приближения оформления материалов к международным требованиям, осуществления ответственного и качественного редактирования, прошу Вас внимательно изучать структуру и требования к качеству представляемых статей, а также технические требования к дизайну материалов. Рецензентам предлагается предоставить подробные комментарии по содержанию и недостаткам статьи. Прилагаем описание правил оформления статей, отправляемых на рецензирование. Главный редактор журнала «Сирота А.А.» от секретаря журнала «Гаршина В.В.»;другой
Статья в бюллетене Туровский_Суровцев_вестник_ВГУ.docx Здравствуйте, уважаемая редакция! Отправляем нашу статью на рассмотрение для публикации. Сокращенный вариант названия статьи: ОЦЕНКА ВОЗМОЖНОСТЕЙ МОДЕЛЕЙ ЛИНЕЙНОЙ РЕГРЕССИИ… — С уважением, Александр Суровцев;презентация статьи
Тема: письмо в редакцию и рецензентов - проект Перейти к 16 С уважением, Сирота А. Отправлено со смартфона Samsung Galaxy. Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Дата: 09.03.2018 21:07 (GMT+03:00) Кому: sir@cs.vsu.ru Тема: Тема: письмо в редакцию и оценщиков проекта, я отправлю письмо. 7 сентября (пятница) в 17:00 мы проведем заседание редколлегии. Это подходящее время? Затем я разошлю приглашения, чтобы все могли собраться. P/S Леденева ранее говорила, что пятница ему подходит. С уважением, Гаршина В.В. Воскресенье, 2 сентября 2018 г. 17:49:43 +0300 Александр Сирота <sir@cs.vsu.ru написал: Высылаю свой вариант текста письма. Насчет 5-го не знаю, там еще конференция, организованная Матвеевым. Уточните у Копытина его график. Лучше 6 или 7. С уважением, Сирота А. 09.01.2018 12:51, Вестник ВГУ пишет: Уважаемые члены редколлегии журнала «Вестник ВГУ САИТ», авторы и рецензенты! В целях развития журнала: повышения научного уровня публикуемых статей, приближения оформления материалов к международным требованиям, осуществления ответственного и качественного редактирования, прошу Вас внимательно изучать структуру и требования к качеству представляемых статей, а также технические требования к дизайну материалов. Рецензентам предлагается предоставить подробные комментарии по содержанию и пробелам в оформлении статьи. Прилагаем описание правил оформления статей, отправляемых на рецензирование. Главный редактор журнала «Сирота А.А.» от секретаря журнала «Гаршина В.В.»;другой
Тема: Письмо в редакцию и рецензентам - возможен и проект среды, так как конференция, скорее всего, завершится завтра. С уважением, Сирота А. Отправлено со смартфона Samsung Galaxy. Исходное сообщение От: Вестник ВГУ <csit@cs.vsu.ru Дата: 09.03.2018 21:07 (GMT+03:00) Кому: sir@cs.vsu.ru Тема: Тема: письмо в редакцию и оценщиков проекта, я отправлю письмо. 7 сентября (пятница) в 17:00 мы проведем заседание редколлегии. Это подходящее время? Затем я разошлю приглашения, чтобы все могли собраться. P/S Леденева ранее говорила, что пятница ему подходит. С уважением, Гаршина В.В. Воскресенье, 2 сентября 2018 г. 17:49:43 +0300 Александр Сирота <sir@cs.vsu.ru написал: Высылаю свой вариант текста письма. Насчет 5-го не знаю, там еще конференция, организованная Матвеевым. Уточните у Копытина его график. Лучше 6 или 7. С уважением, Сирота А. 09.01.2018 12:51, Вестник ВГУ пишет: Уважаемые члены редколлегии журнала «Вестник ВГУ САИТ», авторы и рецензенты! В целях развития журнала: повышения научного уровня публикуемых статей, приближения оформления материалов к международным требованиям, осуществления ответственного и качественного редактирования, прошу Вас внимательно изучать структуру и требования к качеству представляемых статей, а также технические требования к дизайну материалов. Рецензентам предлагается предоставить подробные комментарии по содержанию и недостаткам статьи. Прилагаем описание правил оформления статей, отправляемых на рецензирование. Главный редактор журнала «Сирота А.А.» от секретаря журнала «Гаршина В.В.»;другой
RE: Re: Публикация статьи Привет. Прошла ли статья рецензирование или нет? Спасибо ___________________________________________ Потапов С. Виктор Аспирант кафедры компьютерных наук Института компьютерных технологий и информационной безопасности Южного федерального университета 08.09.2018, 12:37:09 написал пользователь Вестник ВГУ (csit@cs.vsu.ru) : Уважаемые авторы! В редакцию журнала «Вестник ВГУ САИТ» поступила статья «Реализация квантового алгоритма для решения транспортной задачи коммивояжера». Статья будет подвергнута рецензированию. Мы сообщим о результатах. представитель-секретарь журнала Гаршина Вероника Викторовна Воскресенье, 5 августа 2018 23:54:58 +0300 «Потапов С. Виктор» <vityapotapov@rambler.ru написал: Здравствуйте, прошу рассмотреть статью для публикации в журнале. Если потребуются другие документы или исправления, я обязуюсь предоставить их как можно скорее. Спасибо ___________________________________________ Потапов С. Виктор Аспирант кафедры компьютерных наук Института компьютерных технологий и информационной безопасности Южного федерального университета 08.03.2018, 23:56, Вестник ВГУ < csit@cs.vsu.ru Уважаемый автор! 1) Серия журналов ВГУ «Вестник САИТ» включена в перечень ВАК. 2) Публикации в журнале бесплатны для всех авторов. 3) Тематика статьи соответствует правилам журнала. 4) Если вы хотите, чтобы статья была принята к рецензированию, необходимо оформить ее по правилам журнала. Правила прилагаю. представитель-секретарь журнала «Гаршина» Вероника Викторовна Пятница, 3 августа 2018 14:34:08 +0300 «Потапов С. Виктор» <vityapotapov@rambler.ru написал: Здравствуйте. Входит ли журнал в перечень журналов ВАК? Сколько стоит публикация статьи? Соответствует ли работа теме журнала? Спасибо. _____________________________________________ Потапов С. Виктор Аспирант кафедры компьютерных наук Института информационных технологий и информационной безопасности Южного федерального университета;Запросы
Re: Заседание редколлегии Вероника, здравствуйте! Среда — единственный день, когда меня здесь нет :) Вторник, 4 сентября 2018 г., 14:03, Вестник ВГУ <csit@cs.vsu.ru: Уважаемые члены редколлегии журнала «Вестник ВГУ СА»! Приглашаю всех на заседание редакционной комиссии в среду 09.05.2018 в 16.30 ауд. 381а (отдел ПИИТ ФКН). В теме рассмотрено 32018 статей SAIT. Текст письма в редакцию по поводу качества планирования и написания статьи прилагаю. представитель секретаря журнала Гаршина В.В. С уважением, Воронина Ирина Евгеньевна, email: irina.voronina@gmail.com <chupandina@vsu.ru IP:1414;другой
Публикация в Вестнике ВГУ. Серия: Анализ информационных систем и технологий Барсуков. Ряполов. Использование фрактальных свойств трафика в сетях цифровой связи для обнаружения сетевых аномалий.docx Привет! Прошу Вас опубликовать нашу статью «Использование фрактальных свойств трафика в цифровых сетях связи для обнаружения сетевых аномалий» в журнале «Вестник серии ВГУ: Анализ информационных систем и технологий». Как указано в требованиях, пока отправляю на регистрацию только файл *.docx. Буду очень признателен за быстрый ответ. С уважением, Барсуков Игорь тел. 89100406166;презентация статьи
Re[2]: Проверка статьи Вероники Викторовны, номер 2 из серии «Системный анализ» уже появилась на сайте, наша статья там (Чернышев Ю.О., Сергеев А.С.). Когда будут изданы бумажные экземпляры журналов и когда они будут отправлены? Вы можете отправить 4 авторских экземпляра по адресу: ул. А.С. Сергеева. Инициатива, 44, кв. 12 Таганрог, Ростовская область. 347942 С уважением, Сергеев А.С.;Запросы
"Re: статья на рецензию Уважаемая Вероника Викторовна, Я не могу рецензировать представленную работу, поскольку в работе нет информации об авторе и нет ссылки на какую-либо литературу. Такая работа не должна автоматически приниматься на рассмотрение. Все остальные требования также не соблюдены. Запрягаев Четверг, 6 сентября 2018 г. 13:54:39 +0300 «Вестник ВГУ» <csit@cs.vsu.ru написал: Уважаемый Сергей Александрович! Поздравляем со возвращением в школу! Пожалуйста, ознакомьтесь со статьей в научном журнале ""Вестник ВГУ"" САИТ Ефимов НЕ РАЗРАБОТКА И ИССЛЕДОВАНИЕ МЕР БЛИЗОСТИ ДЛЯ ПРЕДВАРИТЕЛЬНОЙ ИДЕНТИФИКАЦИИ ФРАГМЕНТОВ РУКОписНОГО ТЕКСТА Просим Вас сделать это как можно скорее до 15 сентября 2018 г., поскольку многие статьи не отформатированы правильно, и авторам придется изменить форматирование. Прилагаю шаблон обзора и файл с правилами оформления статьи. С уважением, представитель секретаря журнала Вероника Викторовна Гаршина.";отклоненный
Re: Статья Хацкевича В.Л. Уважаемая редакция! 27 июня 2018 года я отправил работу В.Л. Хацкевичу. «О законе больших чисел для нелинейных средних случайных величин», рассмотреть который согласился профессор В.Г. Задорожный. Насколько мне известно о разговоре с В.Г. Задорожным 4 сентября, он ему на экспертизу не был передан. Пожалуйста, уточните статус рассмотрения моей работы. На всякий случай воспроизвожу первое письмо с текстом статьи. Среда, 27 июня 2018, 16:36 +16:00 от Владимира Львовича Хацкевича <vlkhats@mail.ru: Уважаемая редакция! Прошу Вас рассмотреть возможность публикации моей работы «О законе больших чисел для нелинейных средних случайных величин». Профессор В.Г. Задорожный любезно согласился написать рецензию на мою работу. Профессор Владимир Львович Хацкевич Владимир Львович Хацкевич;Запросы
Статья Хацкевича В.Л. Хацкевич.tex, Хацкевич.pdf Сообщение перенаправлено От: Хацкевич Владимир Львович <vlkhats@mail.ru Кому: csit <csit@cs.vsu.ru Дата: 27 июня 2018 г., среда, 16:36 +04 : 00 Тема : Статья Хацкевич В.Л. Уважаемая редакция! Прошу Вас рассмотреть возможность публикации моей работы «О законе больших чисел для нелинейных средних случайных величин». Профессор В.Г. Задорожный любезно согласился написать рецензию на мою работу. Профессор Владимир Львович Хацкевич Владимир Львович Хацкевич;презентация статьи
"Re: статья для обзора Привет! Все сделаю в отведенное время Четверг, 6 сентября 2018 г., 14:46+15:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемый Сергей Николаевич! Просим Вас ознакомиться со статьей в научном журнале ""Вестник ВГУ САИТ"" А.М. Семенов, Л.Ф. Тагирова, В.К. Тагирова СИСТЕМА ПОДДЕРЖКИ ПРИНЯТИЯ ПРИНЯТИЯ КАНДИДАТА НА ВАКАНСИЮ С ЭЛЕМЕНТАМИ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА Просим Вас сделать это оперативно до 15 сентября 2018 года, так как много статей отформатированы неправильно, и авторам придется изменить форматирование. Прилагаю шаблон обзора и файл с правилами оформления статьи. С уважением, Представитель секретаря журнала Вероника Викторовна Гаршина Сергей Медведев.";Пока мы не встретимся снова
"Re: статья для обзора Добрый день! Решение отрицательное. Статья написана некачественным языком и не соответствует общим требованиям, предъявляемым к работам, публикуемым в научных журналах. Невозможно понять ни поставленные задачи, ни полученные результаты. Он нуждается в серьезных улучшениях. 06.09.2018 14:34, Вестник ВГУ пишет: Уважаемый Александр Абрамович! Прошу Вас прочитать статью в научном журнале ""Вестник ВГУ"" САИТ Трофименко Е.В., Хмельков Н.В. РАЗРАБОТКА МЕТОДА УЛУЧШЕНИЯ ДЕТАЛИЗАЦИИ КАРТЫ ГЛУБИНЫ СТЕРИОИЗОБРАЖЕНИЯ Просим Вас сделать это оперативно до 15.09.2018, так как многие статьи неотформатирован правильно, и авторам придется изменить форматирование. Прилагаю шаблон обзора и файл с правилами оформления статьи. С уважением, ответственный секретарь журнала Вероника Викторовна Гаршина Александр Крыловецкий Факультет информатики Воронежский государственный университет +79030252111 +74732304639 www.cs.vsu.ru www.vsu.ru";Пока мы не встретимся снова
Re: статья для обзора Привет, Вероника! Нашими специалистами по квантовым алгоритмам являются только проф. С.А. Запрягаев и руководитель. Кафедра общей физики проф. Клинских Александр Федотович. К сожалению, я не работал с такими алгоритмами. С уважением, Кургалин В. Уважаемый Сергей Дмитриевич! V Посмотреть статью в научном журнале V Вестник ВГУ ГАИТ V Гушанский С.М., Потапов В.С. Реализация квантового алгоритма V для решения транспортной задачи V коммивояжера V Пожалуйста, сделайте это побыстрее до V 15.09.2018, так как многие статьи V отформатирован неправильно, и авторам придется исправить форматирование. V Прикрепляю шаблон редакции и файл с правилами оформления статьи. V С уважением, Представитель. Секретарь журнала «В» Вероника Викторовна Гаршина;Пока мы не встретимся снова
"Тема: обзорная статья Резенция-Барсуков-Ряполов.docx написана 20180906 15:00 GMT+03:00 Вестник ВГУ <csit@cs.vsu.ru: Уважаемый Андрей Сергеевич! Прошу Вас просмотреть статью в научном журнале ""Вестник ВГУ САИТ"" И.С. Барсуков, М.П. Ряполов ИСПОЛЬЗОВАНИЕ ФРАКТАЛЬНЫХ СВОЙСТВ ТРАФИКА В ЦИФРОВЫХ СЕТЯХ СВЯЗИ ДЛЯ ОБНАРУЖЕНИЯ СЕТЕВЫХ АНОМАЛИЙ Просим Вас сделать это оперативно до 15.09.2018, т.к. многие статьи отформатирован неправильно, и авторам придется изменить форматирование. Прилагаю шаблон обзора и файл с правилами оформления статьи. С уважением, Представитель секретаря журнала Вероника Викторовна Гаршина.";Пока мы не встретимся снова
Рецензия для журнала ОБЗОРНАЯ СТАТЬЯ ВОЛОВАЧ и др.doc Уважаемая Вероника Викторовна. Направляю Вам рецензию на статью Воловача В.И., Артюшенко В.М., Аббасовой Т.А. <СИНТЕЗ АЛГОРИТМОВ НЕЛИНЕЙНОЙ ОБРАБОТКИ ПАРАМЕТРОВ СИГНАЛЬНОЙ ИНФОРМАЦИИ ПОД ВЛИЯНИЕМ УЗКОПОЛОСНЫХ ПОМЕХ НЕРАСПРЕДЕЛИТЕЛЬНОГО ГАУССОВСКОГО ХАРАКТЕРА с некоторыми комментариями. С уважением, Ю.С. Радченко;Пока мы не встретимся снова
"Тема: статья на рецензию Рецензент Kononov.docx С уважением, Сирота А.А. Чт 06 сен 2018 14:05:22 +0300 «Вестник ВГУ» <csit@cs.vsu.ru написал: Уважаемый Александр Анатольевич! Прошу Вас ознакомиться со статьей в научном журнале ""Вестник ВГУ САИТ"" А.Д. Кононов, А.А. Кононов ПРИНЦИПЫ РАБОТЫ ИНФОРМАЦИОННОЙ СИСТЕМЫ ДИСТАНЦИОННОГО УПРАВЛЕНИЯ ДВИЖЕНИЕМ ДВИЖУЩИХСЯ ОБЪЕКТОВ Просим Вас сделать это как можно скорее до 15.09/ 2018. Шаблон отзыва прилагаю. С уважением, представитель секретаря журнала Вероника Викторовна Гаршина.";Пока мы не встретимся снова
 Статья Матвеева Сироты Информационный бюллетень Матвеева Сироты 2018.docx Здравствуйте! Отправляем статью для публикации в Вестнике ВГУ. С уважением, Сирота Э.;презентация статьи
Re[4]: Статья Кононова Здравствуйте, Вероника Викторовна! Сообщите, пожалуйста, нужны ли нам сокращенная версия резюме и оригиналы экспертного заключения и рецензии? Если нужны оригиналы, скажите пожалуйста, когда вы посетите ВГУ? С уважением, авторы Кононов А.Д., Кононов А.А. Пятница, 24 августа 2018 г., 23:58 +15:00 от Вестника ВГУ <csit@cs.vsu.ru: Уважаемые авторы! Товар получен. На данный момент комментариев к дизайну нет. Единственное, что нужно сделать, это подготовить сокращенный вариант аннотации (сократить строки на 4). При форматировании часто возникает проблема: само начало статьи (только аннотации) не помещается на первой странице, что плохо. С уважением, Гаршина В.В.;Запросы
Тема: Возможность публикации в журнале «Вестник ВГУ. Серия: Анализ информационных систем и технологий » Доброе утро, 10 августа отправил Вам некоторые документы в ожидании публикации в сентябре, хотелось бы узнать текущее положение дел. Суббота, 11 августа 2018, 14:34, Вестник ВГУ <csit@cs.vsu.ru: Статьи получены и будут отправлены на рассмотрение. представитель-секретарь журнала Гаршина В.В. Пятница, 10 августа 2018 г. 10:44:03 +0200 Никита Ефимов <noefimov@gmail.com написал: Здравствуйте, высылаю Вам рабочую версию статьи. Если получится опубликовать в сентябре, обещаю доработать как можно скорее. 4 августа 2018, 11:31 Пользователь Вестника ВГУ <csit@cs.vsu.ru написал: Присылайте нам, мы разберемся. Суббота, 4 августа 2018 11:18:00 +0300 Никита <noefimov@gmail.com написал: Здравствуйте, я уже отправил предыдущую статью в другой журнал. Но если есть возможность публикации в сентябрьском номере, могу подготовить новую статью в следующем макете (есть материал). Возможно ли это сделать? С уважением, Никита. 3 августа 2018 в 23:28 Вестник ВГУ <csit@cs.vsu.ru написал: Уважаемый автор! Перечисленные вами темы входят в круг научных направлений, поддерживаемых нашим журналом. Отправьте нам свои документы и мы их рассмотрим. В настоящее время статьи находятся на рецензировании в номерах 32018 (выпуск в сентябре) и 42018 (выпуск в январе 2019 г.). Ответ секретаря журнала «Гаршина» Вероники Викторовны Чт, 12 июля 2018 10:46:14 +0200 Никита Ефимов <noefimov@gmail.com написал: Здравствуйте, я учусь в аспирантуре Национального исследовательского университета БелГУ по специальности 13.05. 17 «Теоретические основы информатики». Я работаю над системой проактивного распознавания фрагментов изображений рукописных текстов. Хотелось бы опубликовать статьи в журнале «Вестник ВГУ. Серия: Системный анализ и информационные технологии» по темам: 1) Использование значений энергии в определенных диапазонах частот как характеристического пространства в задачах выявления прецедентов рукописного текста. 2) Сегментация цифровых изображений рукописных текстов. 3) Разработка и исследование различных мер близости в задачах выявления прецедентов фрагментов рукописного текста. Развитие решающей функции. Интересует актуальность темы журнала, возможности и сроки выхода в свет.;Запросы
