id,text,subject,category
1217,уважаемая редколлегия мной июня года была отправлена работа хацкевич в л о законе больших чисел для нелинейных средних случайных величин которую согласился отрецензировать профессор в г задорожний насколько мне известно из разговора с в г задорожним сентября она к нему на рассмотрение не поступала прошу уточнить состояние рассмотрения моей работы на всякий случай повторно дублирую первое письмо с текстом статьи среда июня от владимир львович хацкевич vlkhats mail ru уважаемая редколлегия прошу рассмотреть вопрос о возможности опубликования моей работы о законе больших чисел для нелинейных средних случайных величин профессор в г задорожний любезно согласился написать рецензию на мою работу профессор владимир львович хацкевич владимир львович хацкевич , статья хацкевича в л ,
328, пересылаемое сообщение от кого владимир львович хацкевич vlkhats mail ru кому cs it cs it cs vsu ru дата среда июня тема статья хацкевича в л уважаемая редколлегия прошу рассмотреть вопрос о возможности опубликования моей работы о законе больших чисел для нелинейных средних случайных величин профессор в г задорожний любезно согласился написать рецензию на мою работу профессор владимир львович хацкевич владимир львович хацкевич , статья хацкевича в л ,
322,здравствуйте все сделаю в указанные сроки четверг сентября от vestnik vsu cs it cs vsu ru уважаемый сергей николаевич прошу отрецензировать статью для научного журнала вестник вгу саит а м семенов л ф тагирова в к тагиров система поддержки принятия решения выбора претендента на вакантную должность с элементами искусственного интеллекта большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна сергей медведев , статья на рецензирование,
323,добрый день рецензия отрицательная статья написана плохим языком и не соответствует общим требованиям к работам публикуемым в научных журналах невозможно понять ни поставленные задачи ни полученные результаты требуется серьезная доработка vestnik vsu пишет уважаемый александр абрамович прошу отрецензировать статью для научного журнала вестник вгу саит трофименко е в хмельков н в разработка методики улучшения детализации карты глубины стериоизображения большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна alexander krylovetsky computer science faculty voronezh state university www cs vsu ru www vsu ru , статья на рецензирование,
324,здравствуй вероника у нас специалисты по квантовым алгоритмам это только проф с а запрягаев и зав кафедрой общей физики проф клинских александр федотович я к сожалению такими алгоритмами не занимался с уважением кургалин v уважаемый сергей дмитриевич v прошу отрецензировать статью для научного v журнала вестник вгу саит v гушанский с м потапов в с реализация v квантового алгоритма для решения v транспортной задачи коммивояжера v большая просьба сделать это оперативно до v т к многие статьи v оформлены не правильно и авторам нужно будет v корректировать оформление v шаблон рецензии и файл с правилами оформления статей прикрепляю v с уважением отв секретарь v журнала гаршина вероника викторовна , статья на рецензирование,
331,сделал gmt vestnik vsu cs it cs vsu ru уважаемый андрей сергеевич прошу отрецензировать статью для научного журнала вестник вгу саит и с барсуков м п ряполов использование фрактальных свойств трафика в цифровых сетях связи для детектирования сетевых аномалий большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна , статья на рецензирование,
326,уважаемая вероника викторовна высылаю вам рецензию на статью воловач в и артюшенко в м аббасова т а синтез алгоритмов нелинейной обработки информационных параметров сигнала при воздействии узкополосных помех с негауссовским характером распределения с некоторыми замечаниями с уважением ю с радченко ,рецензия в журнал,
332, с уважением а а сирота on thu sep vestnik vsu cs it cs vsu ru wrote уважаемый александр анатольевич прошу отрецензировать статью для научного журнала вестник вгу саит а д кононов а а кононов принципы функционирования информационной системы дистанционного управления движением мобильных объектов большая просьба сделать это оперативно до шаблон рецензии прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна , статья на рецензирование,
355,добрый день направляем статью для публикации в вестнике вгу с уважением сирота е ,матвеев сирота статья,
327, здравствуйте вероника викторовна сообщите пожалуйста требуются ли от нас сокращенный вариант аннотации и оригиналы экспертного заключения рецензии если оригиналы нужны то подскажите когда вы бываете в вгу с уважением авторы кононов а д кононов а а пятница августа от vestnik vsu cs it cs vsu ru уважаемые авторы материал статьи получен пока замечаний по оформлению нет единственное подготовьте укороченный вариант аннотаций сократить строчки на при верстке часто возникает проблема что на первой странице не помещается начало самой статьи одни аннотации а это плохо с уважением гаршина в в , статья от кононовых,
330,здравствуйте августа передал вам материалы с расчетом на публикацию в сентябре хотелось бы узнать текущее состояние дел сб авг г в vestnik vsu cs it cs vsu ru материалы статьи получены будут переданы на рецензирование отв секретарь журнала гаршина в в on fri aug никита ефимов n o efimov gmail com wrote здравствуйте высылаю рабочую версию статьи при возможности публикации в сентябре обязуюсь доработать в кратчайшие сроки августа г пользователь vestnik vsu cs it cs vsu ru написал присылайте рассмотрим on sat aug никита n o efimov gmail com wrote здравствуйте предыдущую статью уже отдал в другой журнал но если есть возможность публикации в выпуске за сентябрь могу в течение следующей модели подготовить новую статью материалы есть возможно так сделать с уважением никита авг г в vestnik vsu cs it cs vsu ru написал а уважаемый автор перечисленные вами темы входят в круг научных направлений поддерживаемых нашим журналом присылайте материалы мы рассмотрим сейчас рецензируются статьи в выход сентябрь и выход январь отв секретарь журнала гаршина вероника викторовна on thu jul никита ефимов n o efimov gmail com wrote здравствуйте я аспирант ниу белгу по специальности теоретические основы информатики работаю над системой прецедентной идентификации фрагментов изображений рукописного текста хотел бы опубликовать статьи в журнале вестник вгу серия системный анализ и информационные технологии на темы использование значений энергии в заданных частотных интервалов в качестве признакового пространства в задачах прецедентной идентификации рукописного текста сегментации цифровых изображений рукописного текста разработка и исследование различных мер близости в задачах прецедентной идентификации фрагментов рукописного текста разработка решающей функции интересуют соответствие тематике журнала возможность и сроки публикации , возможность публикации в журнале вестник вгу серия системный анализ и информационные технологии ,
336, четверг сентября от vestnik vsu cs it cs vsu ru уважаемая ирина леонидовна прошу отрецензировать статью для научного журнала вестник вгу саит и а седых в а истомин нейросетевое моделирование процесса охлаждения полосы на стане горячей прокатки большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна каширина ирина , статья на рецензирование,
333,здравствуйте уважаемая редакция не могли бы вы подтвердить получение статьи оценка возможностей линейных регрессионных моделей в задачах прогноза вариабельности сердечного ритма туровского и суровцева с уважением суровцев александр ,статья в вестник,
348, вероника добрый день мы с коллегами из военного института написали еще одну статью посмотрите ее пожалуйста формулы получились не очень хорошо оформлены но иначе не удается сохранить размеры с уважением азарнова т в , статья золотухин вунц,
338,здравствуйте высылаю рецензию на указанную статью с уважением сергей медведев четверг сентября от vestnik vsu cs it cs vsu ru уважаемый сергей николаевич прошу отрецензировать статью для научного журнала вестник вгу саит а м семенов л ф тагирова в к тагиров система поддержки принятия решения выбора претендента на вакантную должность с элементами искусственного интеллекта большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна сергей медведев , статья на рецензирование,
340,отправляю рецензию на статью искренне в задорожний ,задорожний рец шмырин,
402,здравствуйте уважаемая вероника викторовна скажите пожалуйста прикрепленные статьи вошли в выпуск вестника статьи направлялись через дурденко в а причем одна из них планировалась во второй номер и была направлена еще в мае но в выпуске ее не оказалось с уважением александр рогожин raa tsbs list ru,статьи,
349,здравствуйте уважаемая редакция в нашем университете финансовый университет при правительстве рф распространили список журналов в которых нам рекомендовано публиковаться в списке имеется вестник воронежского государственного университета серия системный анализ и информационные технологии высылаю вам свою работу для рецензирования касающуюся интеллектуальных систем возможно ее содержание соответствует уровню вашего вестника с ув одинцов борис ефимович д э н профессор департамента анализа данных принятия решений и финансовых технологий финансового университета при правительстве рф ,одинцов статья ,
346,глубокоуважаемый коллега напоминаем вам что с по декабря г состоится международная научно техническая конференция «актуальные проблемы прикладной математики информатики и механики» для участия в конференции необходимо в срок до октября г заполнить полную регистрационную форму и прикрепить доклад и скан копию об оплате оргвзноса на сайте конференции http www amm vsu ru conf index php page reg обратите внимание на правила оформления докладов http www amm vsu ru conf index php page pravilaoformlmaterials способы оплаты оргвзноса представлены на сайте http www amm vsu ru conf index php page pravilauplatyorganizvznosov все принятые статьи будут опубликованы в электронном сборнике научных трудов конференции и проиндексированы в ринц электронному сборнику научных трудов будет присвоен международный книжный номер isbn напоминаем что поступившие в программный комитет тексты докладов будут проходить отбор для опубликования в научном журнале journal of physics conference series индексируемом в web of science и scopus в случае получения рекомендации к опубликованию вам будет отправлено уведомление не позднее октября важно для публикации статьи в данных изданиях необходимо очное участие в конференции более подробную информацию можно получить на сайте конференции http www amm vsu ru conf index php или у оргкомитета amcsmconf amm vsu ru с уважением оргкомитет ,конференция «актуальные проблемы прикладной математики информатики и механики» ,
347,добрый вечер высылаю стихи сочиненные на шестидесятилетие тюкачева и его памяти стихотворение памяти тюкачева может быть переложено на музыку так как его я писал с сохранением ритма очередности ударений не знаю как это называется у литераторов до свидания ,стихи тюкачеву,
345,здравствуйте виктория викторовна изменились входные данные по статье трофименко е в хмельков н в разработка методики улучшения детализации карты глубины стериоизображения просьба добавить еще одного автора хмелёва ирина владимировна к т наук доцент кафедры ивт кыргызско российский славянский университет hmelevai gmail com с уважением трофименко елена владимировна https www avast com sig email utm medium email utm source link utm campaign sig email utm content webmail без вирусов www avast ru https www avast com sig email utm medium email utm source link utm campaign sig email utm content webmail m dabfad dd bb ab eaaffdf ,добавление автора в статью,
354,on thu sep vestnik vsu cs it cs vsu ru wrote уважаемый александр иванович прошу отрецензировать статьи для научного журнала вестник вгу саит бильченко г г бильченко н г обратные задачи тепломассообмена на проницаемых поверхностях гиперзвуковых летательных аппаратов iv классификация задач на всём участке управления бильченко г г бильченко н г обратные задачи тепломассообмена на проницаемых поверхностях гиперзвуковых летательных аппаратов v смешанные задачи на фрагментах участка управления большая просьба сделать это оперативно до т к многие статьи оформлены не правильно и авторам нужно будет корректировать оформление шаблон рецензии и файл с правилами оформления статей прикрепляю с уважением отв секретарь журнала гаршина вероника викторовна с уважением декан факультета пмм вгу д ф м н проф шашкин александр иванович т dean amm vsu ru ,от шашкина рецензии,
351,добрый день коллеги хотелось бы опубликовать статью в вестнике воронежского государственного технического университета в серии системный анализ и информационные технологии высылаю вам статью в формате word подскажите пожалуйста возможна ли такая публикация в вашем журнале и нужны ли ещё от меня какие либо документы с уважением логинов александр ,статья для публикации опыт разработки и внедрения единой системы управления нси ао окб новатор ,
350,вероника викторовна еще не напечатало издательство номер серии системный анализ когда будете высылать авторские экземпляры можете ли вы выслать авторских экземпляра по адресу сергееву а с ул инициативная д кв г таганрог ростовская обл c уважением сергеев а с , сверка статьи,
352,вероника викторовна почему не отвечаете еще не напечатало издательство номер серии системный анализ когда будете высылать авторские экземпляры можете ли вы выслать авторских экземпляра по адресу сергееву а с ул инициативная д кв г таганрог ростовская обл c уважением сергеев а с , сверка статьи,
353,здравствуйте прошло уже достаточно много времени и хотелось бы продублировать свой прежний вопрос и узнать на каком этапе находится статья нам важно опубликовать работу в этом году спасибо vestnik vsu cs it cs vsu ru уважаемые авторы пока рецензия на вашу статью реализация квантового алгоритма для решения транспортной задачи коммивояжера не готова отв секретарь журнала гаршина в в on tue sep potapov s viktor vitya potapov rambler ru wrote здравствуйте статья прошла процесс рецензирования или еще нет спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university пользователь vestnik vsu cs it cs vsu ru написал уважаемые авторы редакцией журнала вестник вгу саит получена статья реализация квантового алгоритма для решения транспортной задачи коммивояжера статья будет передана на рецензирование результаты сообщим отв секретарь журнала гаршина вероника викторовна on sun aug potapov s viktor vitya potapov rambler ru wrote здравствуйте прошу рассмотреть статью на предмет публикации в журнале если потребуются иные документы или правки обязуюсь оперативно предоставить спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university vestnik vsu cs it cs vsu ru уважаемый автор журнал вестник вгу серия саит входит в перечень вак публикации в журнале для всех авторов бесплатные тематика статьи соответствует направлениям журнала если хотите чтобы статья была принята к рецензированию необходимо оформить ее по правилам журнала правила прикрепляю отв секретарь журнала гаршина вероника викторовна on fri aug potapov s viktor vitya potapov rambler ru wrote здравствуйте входит ли журнал в перечень журналов вак какова стоимость публикации статьи подходит ли работа под тематику журнала спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university , re публикация статьи,
374, from борис одинцов mailto odintsov list ru sent wednesday september am to cs it cs vsu ru subject статья здравствуйте ув господа обращаюсь к вам вторично я выслал в ваш адрес свою статью порождение нового знания для создания баз знаний интеллектуальных систем для рецензирования сообщите пожалуйста подходит ли моя работа для вашего издания с ув одинцов б е , статья,
357,здравствуйте ув господа я выслал в ваш адрес свою статью порождение нового знания для создания баз знаний интеллектуальных систем для рецензирования сообщите пожалуйста о получении с ув одинцов б е ,статья,
367,направляю статью о перове я думаю можно будет опубликовать спросите у сироты искренне проф в задорожний ,задорожний,
356,коллеги добрый день неделю назад отправлял статью для возможной публикации в вашем журнале вестник воронежского государственного технического университета серия системный анализ и информационные технологии до сих пор не получил ответа подскажите пожалуйста вы получали моё письмо с уважением логинов александр ,статья для публикации,
358,вероника викторовна почему не отвечаете ответьте если не трудно уже вышел из печати номер серии системный анализ там наша статья mетоды решения задач криптоанализа блочных криптосистем на основе биоинспириованных технологий искусственного интеллекта когда будут высылаться авторские экземпляры еще раз напоминаю адрес для отправки авторских экземпляров сергееву а с ул инициативная д кв г таганрог ростовская обл ответьте наконец когда будут высланы авторские экземпляры журнала сергеев а с , статья для публикации в журнале вестник вгу ,
380,привет вероника высылаю две статьи в четвертый номер года большая просьба опубликовать их обе в этом номере с уважением копытин а в ,статьи в четвертый номер ,
359,здравствуйте прошло уже достаточно много времени и хотелось бы продублировать свой прежний вопрос и узнать на каком этапе находится статья нам важно опубликовать работу в этом году спасибо vestnik vsu cs it cs vsu ru уважаемые авторы пока рецензия на вашу статью реализация квантового алгоритма для решения транспортной задачи коммивояжера не готова отв секретарь журнала гаршина в в on tue sep potapov s viktor vitya potapov rambler ru wrote здравствуйте статья прошла процесс рецензирования или еще нет спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university пользователь vestnik vsu cs it cs vsu ru написал уважаемые авторы редакцией журнала вестник вгу саит получена статья реализация квантового алгоритма для решения транспортной задачи коммивояжера статья будет передана на рецензирование результаты сообщим отв секретарь журнала гаршина вероника викторовна on sun aug potapov s viktor vitya potapov rambler ru wrote здравствуйте прошу рассмотреть статью на предмет публикации в журнале если потребуются иные документы или правки обязуюсь оперативно предоставить спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university vestnik vsu cs it cs vsu ru уважаемый автор журнал вестник вгу серия саит входит в перечень вак публикации в журнале для всех авторов бесплатные тематика статьи соответствует направлениям журнала если хотите чтобы статья была принята к рецензированию необходимо оформить ее по правилам журнала правила прикрепляю отв секретарь журнала гаршина вероника викторовна on fri aug potapov s viktor vitya potapov rambler ru wrote здравствуйте входит ли журнал в перечень журналов вак какова стоимость публикации статьи подходит ли работа под тематику журнала спасибо potapov s viktor postgraduate student of the department of computer science institute of computer technology and information security southern federal university , re re публикация статьи,
360, октября почти два месяца назад я передал вам материалы для рецензирования и дальнейшей публикации с тех пор от вас не было никаких вестей если до конца недели я не получи никакой информации придется принимать меры вс сент г в никита ефимов n o efimov gmail com здравствуйте августа передал вам материалы с расчетом на публикацию в сентябре хотелось бы узнать текущее состояние дел сб авг г в vestnik vsu cs it cs vsu ru материалы статьи получены будут переданы на рецензирование отв секретарь журнала гаршина в в on fri aug никита ефимов n o efimov gmail com wrote здравствуйте высылаю рабочую версию статьи при возможности публикации в сентябре обязуюсь доработать в кратчайшие сроки августа г пользователь vestnik vsu cs it cs vsu ru написал присылайте рассмотрим on sat aug никита n o efimov gmail com wrote здравствуйте предыдущую статью уже отдал в другой журнал но если есть возможность публикации в выпуске за сентябрь могу в течение следующей модели подготовить новую статью материалы есть возможно так сделать с уважением никита авг г в vestnik vsu cs it cs vsu ru написал а уважаемый автор перечисленные вами темы входят в круг научных направлений поддерживаемых нашим журналом присылайте материалы мы рассмотрим сейчас рецензируются статьи в выход сентябрь и выход январь отв секретарь журнала гаршина вероника викторовна on thu jul никита ефимов n o efimov gmail com wrote здравствуйте я аспирант ниу белгу по специальности теоретические основы информатики работаю над системой прецедентной идентификации фрагментов изображений рукописного текста хотел бы опубликовать статьи в журнале вестник вгу серия системный анализ и информационные технологии на темы использование значений энергии в заданных частотных интервалов в качестве признакового пространства в задачах прецедентной идентификации рукописного текста сегментации цифровых изображений рукописного текста разработка и исследование различных мер близости в задачах прецедентной идентификации фрагментов рукописного текста разработка решающей функции интересуют соответствие тематике журнала возможность и сроки публикации , возможность публикации в журнале вестник вгу серия системный анализ и информационные технологии ,
363,добрый день коллеги не могли бы вы подсказать не прочитана ли наша статья имеются ли замечания которые требуется исправить статья система поддержки принятия решения выбора претендента на вакантную должность с элементами искусственного интеллекта авторы а м семенов л ф тагирова в к тагиров суббота сентября от лилия тагирова lg mail ru спасибо большое простите еще раз за беспокойство будем ждать суббота сентября от vestnik vsu cs it cs vsu ru уважаемые авторы рецензия на вашу статью еще не получена от рецензента как только будут известны результаты рецензирования сообщим отв секретарь журнала гаршина в в on tue aug лилия тагирова lg mail ru wrote уважаемые коллеги простите не могли бы вы сказать какие замечания у нас по статье может быть надо что то исправить какие замечания у рецензента с уважением тагирова л ф четверг августа г от cs it cs vsu ru cs it cs vsu ru уважаемые авторы редакцией журнала вестник вгу саит получена статья система поддержки принятия решения выбора претендента на вакантную должность с элементами искусственного интеллекта авторы а м семенов л ф тагирова в к тагиров статья будет передана на рецензирование результаты сообщим отв секретарь журнала гаршина вероника викторовна on sun aug лилия тагирова lg mail ru wrote добрый день уважаемые коллеги редакторы журнала вестник воронежского государственного университета мы хотели опубликовать статью в вашем журнале серия системный анализ и информационные технологии отправляем вам нашу статью и рисунки в отдельных файлах ждем ответа с дальнейшими инструкциями какие еще документы нужны либо какие то коррективы необходимо внести с уважением тагирова л ф с уважением тагирова л ф с уважением тагирова л ф , публикация статьи,
361, здравствуйте я аспирантка и мне нужно опубликовать вак статью хотелось узнать вопроса сколько стоит опубликовать вак статью как скоро она будет опубликована после того когда я вам отправлю с уважением илчева валерия ,вак статьи,
362,глубокоуважаемый коллега напоминаем вам что с по декабря г состоится международная научно техническая конференция «актуальные проблемы прикладной математики информатики и механики» список докладов поданных на конференцию доступен на странице http www amm vsu ru conf index php page doklads для участия в конференции необходимо в срок до октября г заполнить полную регистрационную форму и прикрепить доклад и скан копию об оплате оргвзноса на сайте конференции http www amm vsu ru conf index php page reg обратите внимание на правила оформления докладов http www amm vsu ru conf index php page pravilaoformlmaterials способы оплаты оргвзноса представлены на сайте http www amm vsu ru conf index php page pravilauplatyorganizvznosov все принятые статьи будут опубликованы в электронном сборнике научных трудов конференции и проиндексированы в ринц электронному сборнику научных трудов будет присвоен международный книжный номер isbn напоминаем что поступившие в программный комитет тексты докладов будут проходить отбор для опубликования в научном журнале journal of physics conference series индексируемом в web of science и scopus в случае получения рекомендации к опубликованию вам будет отправлено уведомление не позднее октября важно для публикации статьи в данных изданиях необходимо очное участие в конференции более подробную информацию можно получить на сайте конференции http www amm vsu ru conf index php или у оргкомитета amcsmconf amm vsu ru с уважением оргкомитет ,конференция «актуальные проблемы прикладной математики информатики и механики» ,
